fips,INTPTLAT,INTPTLON,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Clust
01053,31.1222867,-87.1684097,0.00962481033975994,0.0,0.4617652899915002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52860989966874,99
01123,32.8633076,-85.7996176,0.0,0.0,0.4298408901943755,0.0,0.5360304820431349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034128627762489726,30
01009,33.9773575,-86.56644,0.11446980665645555,0.0,0.8738564890898002,0.0,0.0,0.0,0.0,0.0116737042537442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
01115,33.7129627,-86.3156631,0.6923097209768446,0.0,0.30769027902315543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
01117,33.2630428,-86.6780894,0.6722621421315976,0.0,0.32773785786840237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
01073,33.5534439,-86.8965359,0.24957637734608826,0.0,0.7504236226539117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
01127,33.7915581,-87.3010936,0.0,0.0,0.8179169466978408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1820830533021593,39
01007,33.0158929,-87.1271475,0.1705204408827327,0.0,0.6191026614498445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21037689766742274,39
01021,32.8540514,-86.7266071,0.072019789831293,0.0,0.698936493068974,0.0,0.010803186809108035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21824053029062485,39
01043,34.1319229,-86.8692666,0.0,0.0,0.9986161172022923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013838827977077878,39
01037,32.9314453,-86.2434818,0.03142045161924649,0.0,0.5750139287503452,0.0,0.39356561963040837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
01121,33.3693135,-86.1759302,0.6928680300924934,0.0,0.3071319699075066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
01071,34.764114,-85.9800556,0.13236518974654354,0.0,0.8505673620698904,0.0,0.0,0.0,0.0,0.01706744818356613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
01027,33.2703999,-85.8635254,0.0017191447254990644,0.0,0.9197324331145255,0.0,0.07854842215997543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
01091,32.2475911,-87.791091,0.15408443975249095,0.0,0.5926980188482965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532175413992125,39
01019,34.0695153,-85.6542417,0.7499056980562704,0.0,0.2500388302121241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5471731605573837e-05,30
01105,32.6390053,-87.2938269,0.2846937644206532,0.0,0.37906105466617296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33624518091317396,39
01063,32.8444965,-87.9642005,0.17992469869151945,0.0,0.2968642809780453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232110203304353,39
01013,31.751667,-86.6819689,0.0017208118961828738,0.0,0.7862027482378223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21207643986599475,99
01057,33.7161568,-87.7642923,0.0,0.0,0.7657464731798045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342535268201955,39
01131,31.9900824,-87.3049349,0.002458080794595895,0.0,0.7103619870237363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2871799321816678,39
01099,31.5803324,-87.3832656,0.09553959235776957,0.0,0.6020532894939095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30240711814832105,99
01093,34.1382194,-87.881551,0.0,0.0,0.6189744864080952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3810255135919049,39
01119,32.5974811,-88.2000571,0.19785763786420324,0.0,0.5144388112062018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2877035509295948,39
01133,34.1546073,-87.36529,0.0,0.0,0.9833679728419502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016632027158049827,39
